"år","navn","dato","dag","uke"
"2019","1. nyttårsdag","01.01.2019","tirsdag","1"
"2019","Palmesøndag","14.04.2019","søndag","15"
"2019","Skjærtorsdag","18.04.2019","torsdag","16"
"2019","Langfredag","19.04.2019","fredag","16"
"2019","1. påskedag","21.04.2019","søndag","16"
"2019","2. påskedag","22.04.2019","mandag","17"
"2019","Offentlig høytidsdag","01.05.2019","onsdag","18"
"2019","Grunnlovsdag","17.05.2019","fredag","20"
"2019","Kristi Himmelfartsdag","30.05.2019","torsdag","22"
"2019","1. pinsedag","09.06.2019","søndag","23"
"2019","2. pinsedag","10.06.2019","mandag","24"
"2019","1. juledag","25.12.2019","onsdag","52"
"2019","2. juledag","26.12.2019","torsdag","52"
"2020","1. nyttårsdag","01.01.2020","onsdag","1"
"2020","Palmesøndag","05.04.2020","søndag","14"
"2020","Skjærtorsdag","09.04.2020","torsdag","15"
"2020","Langfredag","10.04.2020","fredag","15"
"2020","1. påskedag","12.04.2020","søndag","15"
"2020","2. påskedag","13.04.2020","mandag","16"
"2020","Offentlig høytidsdag","01.05.2020","fredag","18"
"2020","Grunnlovsdag","17.05.2020","søndag","20"
"2020","Kristi Himmelfartsdag","21.05.2020","torsdag","21"
"2020","1. pinsedag","31.05.2020","søndag","22"
"2020","2. pinsedag","01.06.2020","mandag","23"
"2020","1. juledag","25.12.2020","fredag","52"
"2020","2. juledag","26.12.2020","lørdag","52"
"2021","1. nyttårsdag","01.01.2021","fredag","53"
"2021","Palmesøndag","28.03.2021","søndag","12"
"2021","Skjærtorsdag","01.04.2021","torsdag","13"
"2021","Langfredag","02.04.2021","fredag","13"
"2021","1. påskedag","04.04.2021","søndag","13"
"2021","2. påskedag","05.04.2021","mandag","14"
"2021","Offentlig høytidsdag","01.05.2021","lørdag","17"
"2021","Kristi Himmelfartsdag","13.05.2021","torsdag","19"
"2021","Grunnlovsdag","17.05.2021","mandag","20"
"2021","1. pinsedag","23.05.2021","søndag","20"
"2021","2. pinsedag","24.05.2021","mandag","21"
"2021","1. juledag","25.12.2021","lørdag","51"
"2021","2. juledag","26.12.2021","søndag","51"
"2022","1. nyttårsdag","01.01.2022","lørdag","52"
"2022","Palmesøndag","10.04.2022","søndag","14"
"2022","Skjærtorsdag","14.04.2022","torsdag","15"
"2022","Langfredag","15.04.2022","fredag","15"
"2022","1. påskedag","17.04.2022","søndag","15"
"2022","2. påskedag","18.04.2022","mandag","16"
"2022","Offentlig høytidsdag","01.05.2022","søndag","17"
"2022","Grunnlovsdag","17.05.2022","tirsdag","20"
"2022","Kristi Himmelfartsdag","26.05.2022","torsdag","21"
"2022","1. pinsedag","05.06.2022","søndag","22"
"2022","2. pinsedag","06.06.2022","mandag","23"
"2022","1. juledag","25.12.2022","søndag","51"
"2022","2. juledag","26.12.2022","mandag","52"
"2023","1. nyttårsdag","01.01.2023","søndag","52"
"2023","Palmesøndag","02.04.2023","søndag","13"
"2023","Skjærtorsdag","06.04.2023","torsdag","14"
"2023","Langfredag","07.04.2023","fredag","14"
"2023","1. påskedag","09.04.2023","søndag","14"
"2023","2. påskedag","10.04.2023","mandag","15"
"2023","Offentlig høytidsdag","01.05.2023","mandag","18"
"2023","Grunnlovsdag","17.05.2023","onsdag","20"
"2023","Kristi Himmelfartsdag","18.05.2023","torsdag","20"
"2023","1. pinsedag","28.05.2023","søndag","21"
"2023","2. pinsedag","29.05.2023","mandag","22"
"2023","1. juledag","25.12.2023","mandag","52"
"2023","2. juledag","26.12.2023","tirsdag","52"
"2024","1. nyttårsdag","01.01.2024","mandag","1"
"2024","Palmesøndag","24.03.2024","søndag","12"
"2024","Skjærtorsdag","28.03.2024","torsdag","13"
"2024","Langfredag","29.03.2024","fredag","13"
"2024","1. påskedag","31.03.2024","søndag","13"
"2024","2. påskedag","01.04.2024","mandag","14"
"2024","Offentlig høytidsdag","01.05.2024","onsdag","18"
"2024","Kristi Himmelfartsdag","09.05.2024","torsdag","19"
"2024","Grunnlovsdag","17.05.2024","fredag","20"
"2024","1. pinsedag","19.05.2024","søndag","20"
"2024","2. pinsedag","20.05.2024","mandag","21"
"2024","1. juledag","25.12.2024","onsdag","52"
"2024","2. juledag","26.12.2024","torsdag","52"
"2025","1. nyttårsdag","01.01.2025","onsdag","01"
"2025","Palmesøndag","13.04.2025","søndag","15"
"2025","Skjærtorsdag","17.04.2025","torsdag","16"
"2025","Langfredag","18.04.2025","fredag","16"
"2025","1. påskedag","20.04.2025","søndag","16"
"2025","2. påskedag","21.04.2025","mandag","17"
"2025","Offentlig høytidsdag","01.05.2025","torsdag","18"
"2025","Grunnlovsdag","17.05.2025","lørdag","20"
"2025","Kristi Himmelfartsdag","29.05.2025","torsdag","22"
"2025","1. pinsedag","08.06.2025","søndag","23"
"2025","2. pinsedag","09.06.2025","mandag","24"
"2025","1. juledag","25.12.2025","torsdag","52"
"2025","2. juledag","26.12.2025","fredag","52"
"2026","1. nyttårsdag","01.01.2026","torsdag","01"
"2026","Palmesøndag","29.03.2026","søndag","13"
"2026","Skjærtorsdag","02.04.2026","torsdag","14"
"2026","Langfredag","03.04.2026","fredag","14"
"2026","1. påskedag","05.04.2026","søndag","14"
"2026","2. påskedag","06.04.2026","mandag","15"
"2026","Offentlig høytidsdag","01.05.2026","fredag","18"
"2026","Kristi Himmelfartsdag","14.05.2026","torsdag","20"
"2026","Grunnlovsdag","17.05.2026","søndag","20"
"2026","1. pinsedag","24.05.2026","søndag","21"
"2026","2. pinsedag","25.05.2026","mandag","22"
"2026","1. juledag","25.12.2026","fredag","52"
"2026","2. juledag","26.12.2026","lørdag","52"
"2027","1. nyttårsdag","01.01.2027","lørdag","53"
"2027","Palmesøndag","21.03.2027","søndag","11"
"2027","Skjærtorsdag","25.03.2027","torsdag","12"
"2027","Langfredag","26.03.2027","fredag","12"
"2027","1. påskedag","28.03.2027","søndag","12"
"2027","2. påskedag","29.03.2027","mandag","13"
"2027","Offentlig høytidsdag","01.05.2027","søndag","17"
"2027","Kristi Himmelfartsdag","06.05.2027","torsdag","18"
"2027","1. pinsedag","16.05.2027","søndag","19"
"2027","Grunnlovsdag og 2.pinsedag","17.05.2027","mandag","20"
"2027","1. juledag","25.12.2027","lørdag","51"
"2027","2. juledag","26.12.2027","søndag","51"
"2028","1. nyttårsdag","01.01.2028","søndag","52"
"2028","Palmesøndag","09.04.2028","søndag","14"
"2028","Skjærtorsdag","13.04.2028","torsdag","15"
"2028","Langfredag","14.04.2028","fredag","15"
"2028","1. påskedag","16.04.2028","søndag","15"
"2028","2. påskedag","17.04.2028","mandag","16"
"2028","Offentlig høytidsdag","01.05.2028","mandag","18"
"2028","Grunnlovsdag","17.05.2028","onsdag","20"
"2028","Kristi Himmelfartsdag","25.05.2028","torsdag","21"
"2028","1. pinsedag","04.06.2028","søndag","22"
"2028","2. pinsedag","05.06.2028","mandag","23"
"2028","1. juledag","25.12.2028","mandag","52"
"2028","2. juledag","26.12.2028","tirsdag","52"
"2029","1. nyttårsdag","01.01.2029","mandag","1"
"2029","Palmesøndag","25.03.2029","søndag","12"
"2029","Skjærtorsdag","29.03.2029","torsdag","13"
"2029","Langfredag","30.03.2029","fredag","13"
"2029","1. påskedag","01.04.2029","søndag","13"
"2029","2. påskedag","02.04.2029","mandag","14"
"2029","Offentlig høytidsdag","01.05.2029","tirsdag","18"
"2029","Kristi Himmelfartsdag","10.05.2029","torsdag","19"
"2029","Grunnlovsdag","17.05.2029","torsdag","20"
"2029","1. pinsedag","20.05.2029","søndag","20"
"2029","2. pinsedag","21.05.2029","mandag","21"
"2029","1. juledag","25.12.2029","tirsdag","52"
"2029","2. juledag","26.12.2029","onsdag","52"
"2030","1. nyttårsdag","01.01.2030","tirsdag","1"
"2030","Palmesøndag","14.04.2030","søndag","15"
"2030","Skjærtorsdag","18.04.2030","torsdag","16"
"2030","Langfredag","19.04.2030","fredag","16"
"2030","1. påskedag","21.04.2030","søndag","16"
"2030","2. påskedag","22.04.2030","mandag","17"
"2030","Offentlig høytidsdag","01.05.2030","onsdag","18"
"2030","Grunnlovsdag","17.05.2030","fredag","20"
"2030","Kristi Himmelfartsdag","30.05.2030","torsdag","22"
"2030","1. pinsedag","09.06.2030","søndag","23"
"2030","2. pinsedag","10.06.2030","mandag","24"
"2030","1. juledag","25.12.2030","onsdag","52"
"2030","2. juledag","26.12.2030","torsdag","52"
"2031","1. nyttårsdag","01.01.2031","onsdag","1"



